date,name,weight
2018-09-13,simone,11.1875
2018-09-13,gagne,11
2018-09-13,std,20.975
2018-09-14,raisin,19.625
2018-09-14,simone,11.0625
2018-09-14,gagne,11.0625
2018-09-14,std,20.975
2018-09-15,raisin,19.5
2018-09-15,std,20.975
2018-09-16,raisin,19.5625
2018-09-16,simone,11
2018-09-16,gagne,11.0625
2018-09-16,std,20.975
2018-10-01,raisin,19
2018-10-01,simone,10.25
2018-10-01,gagne,10.25
2018-10-02,raisin,19.375
2018-10-02,simone,11
2018-10-02,gagne,10.75
2018-10-02,std,20.975
2018-10-03,raisin,19
2018-10-03,simone,10.625
2018-10-03,gagne,10.1875
2018-10-03,std,20.975
2018-10-04,raisin,18.9375
2018-10-04,simone,10.5625
2018-10-04,gagne,10.25
2018-10-04,std,20.975
2018-10-09,raisin,19.625
2018-10-09,simone,10.625
2018-10-09,gagne,10.6875
2018-10-09,std,20.975
2018-10-10,raisin,19.125
2018-10-10,simone,10.6875
2018-10-10,gagne,10.6875
2018-10-10,std,20.975
2018-10-11,raisin,19.125
2018-10-11,simone,10.6875
2018-10-11,gagne,10.5625
2018-10-11,std,20.975
2018-10-12,raisin,19.0625
2018-10-12,simone,10.625
2018-10-12,gagne,10.6875
2018-10-12,std,20.975
2018-10-13,raisin,19.3125
2018-10-13,simone,10.5625
2018-10-13,gagne,10.6875
2018-10-13,std,20.975
2018-10-14,raisin,19.0625
2018-10-14,simone,10.5625
2018-10-14,gagne,10.6875
2018-10-14,std,20.975
2018-10-15,raisin,19.25
2018-10-16,raisin,18.8125
2018-10-16,simone,10.6875
2018-10-16,gagne,10.6875
2018-10-16,std,20.975
2018-10-17,raisin,18.9375
2018-10-17,simone,10.8125
2018-10-17,gagne,10.8125
2018-10-17,std,20.975
2018-10-18,raisin,18.875
2018-10-18,simone,10.75
2018-10-18,gagne,10.8125
2018-10-18,std,20.975
2018-10-22,raisin,NA
2018-10-22,simone,10.25
2018-10-22,gagne,10.3125
2018-10-23,raisin,18.5
2018-10-23,simone,10.5
2018-10-23,gagne,10.5
2018-10-23,std,20.975
2018-10-24,raisin,18.4375
2018-10-24,simone,10.75
2018-10-24,gagne,10.5625
2018-10-24,std,20.975
2018-10-25,raisin,18.4375
2018-10-25,simone,10.5
2018-10-25,gagne,10.5625
2018-10-26,raisin,18.5
2018-10-26,simone,10.5
2018-10-26,gagne,10.6875
2018-10-27,raisin,18.625
2018-10-27,simone,10.5625
2018-10-27,gagne,10.75
2018-10-28,raisin,18.375
2018-10-28,simone,10.5625
2018-10-28,gagne,10.75
2018-10-29,raisin,18.5625
2018-10-29,simone,10.5
2018-10-29,gagne,10.625
2018-10-30,raisin,18.5
2018-10-30,simone,10.5625
2018-10-30,gagne,10.625
2018-10-31,raisin,18.4375
2018-10-31,simone,10.625
2018-10-31,gagne,10.75
2018-10-31,std,20.975
2018-11-01,raisin,18.4375
2018-11-01,simone,10.5
2018-11-01,gagne,10.6875
2018-11-02,raisin,18.375
2018-11-02,simone,10.375
2018-11-02,gagne,10.5625
2018-11-04,raisin,18.6875
2018-11-04,simone,10.6875
2018-11-04,gagne,10.8125
2018-11-05,raisin,18.4375
2018-11-05,simone,10.5
2018-11-05,gagne,10.6875
2018-11-06,raisin,18.4375
2018-11-06,simone,10.5
2018-11-06,gagne,10.75
2018-11-06,std,20.975
2018-11-18,raisin,19.4375
2018-11-19,raisin,19
2018-11-19,simone,10.4375
2018-11-19,gagne,10.875
2018-11-20,raisin,18.5625
2018-11-20,simone,10.4375
2018-11-20,gagne,10.5625
2018-11-21,raisin,18.4375
2018-11-21,simone,10.5
2018-11-21,gagne,10.6875
2018-11-22,raisin,18.5
2018-11-22,simone,10.3125
2018-11-22,gagne,10.6875
2018-11-23,raisin,18.4375
2018-11-23,simone,10.25
2018-11-23,gagne,10.5
2018-11-29,raisin,18.3125
2018-11-29,simone,10.5
2018-11-29,gagne,10.625
2018-12-01,raisin,18.25
2018-12-01,simone,10.375
2018-12-01,gagne,10.4375
2018-12-04,raisin,18.4375
2018-12-04,simone,10.375
2018-12-04,gagne,10.625
2018-12-05,raisin,18.25
2018-12-05,simone,10.4375
2018-12-05,gagne,10.75
2018-12-06,raisin,18.1875
2018-12-06,simone,10.5
2018-12-06,gagne,10.6875
2018-12-08,raisin,18.25
2018-12-08,simone,10.6875
2018-12-08,gagne,10.875
2018-12-09,raisin,18.1875
2018-12-09,simone,10.5
2018-12-09,gagne,10.8125
2018-12-10,raisin,18.125
2018-12-11,raisin,18.25
2018-12-11,simone,10.625
2018-12-11,gagne,10.875
2018-12-17,raisin,17.9375
2018-12-17,simone,10.125
2018-12-17,gagne,10.375
2018-12-18,raisin,17.875
2018-12-18,simone,10.125
2018-12-18,gagne,10.6875
2019-01-08,raisin,17.9375
2019-01-08,simone,10
2019-01-08,gagne,10.3125
2019-01-10,raisin,17.8125
2019-01-10,simone,10.125
2019-01-10,gagne,10.375
2019-01-14,raisin,17.875
2019-01-14,simone,9.9375
2019-01-14,gagne,10.3125
2019-01-17,raisin,17.8125
2019-01-17,simone,10.375
2019-01-17,gagne,10.375
2019-01-17,std,20.9625
2019-01-19,raisin,17.75
2019-01-19,simone,10.125
2019-01-19,gagne,10.375
2019-01-26,raisin,18
2019-01-26,simone,10.625
2019-01-26,gagne,10.5625
2019-01-27,raisin,18.0625
2019-01-27,simone,10.625
2019-01-27,gagne,10.625
2019-01-28,raisin,17.9375
2019-01-28,simone,10.5
2019-01-28,gagne,10.375
2019-02-04,raisin,18.0625
2019-02-04,simone,10.625
2019-02-04,gagne,10.8125
2019-02-06,raisin,18.0625
2019-02-06,simone,10.875
2019-02-06,gagne,10.875
2019-02-08,raisin,18
2019-02-08,simone,10.5625
2019-02-08,gagne,10.6875
